Company,Ticker,,,,,,,,,,,,,,,,,,,
Nvidia Corporation,NVDA,,End,1/8/21,,,,,,,,,,,,,,,,
Pinduoduo Inc,PDD,,Start,1/8/19,,,,,,,,,,,,,,,,
Netflix Inc,NFLX,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,NVDA,,PDD,,NFLX,,,,,,,,,,,,,,,
,Closing Price,Volume,Closing Price,Volume,Closing Price,Volume,,,,,,,,,,,,,,
1/8/2019 16:00:00,139.83,19650429,24,3355000,320.27,15359180,,,Closing Prices,,,,,,Closing Prices,,,,,
1/9/2019 16:00:00,142.58,15431475,25.54,7322212,319.96,13343152,,,NVDA,,PDD,,NFLX,,NVDA,,PDD,,NFLX,
1/10/2019 16:00:00,145.23,13078906,26.38,4956502,324.66,13472475,,,Date,Close,Date,Close,Date,Close,Date,Volume,Date,Volume,Date,Volume
9/14/2020 16:00:00,514.89,30043624,85.28,5543323,476.26,7359126,,,9/9/2020 16:00:00,508.6,9/9/2020 16:00:00,84.65,9/9/2020 16:00:00,500.19,9/9/2020 16:00:00,18404957,9/9/2020 16:00:00,6250539,9/9/2020 16:00:00,6848127
9/15/2020 16:00:00,519.64,18188914,82.65,6435188,495.99,5336992,,,9/10/2020 16:00:00,492.47,9/10/2020 16:00:00,83.87,9/10/2020 16:00:00,480.67,9/10/2020 16:00:00,17467111,9/10/2020 16:00:00,6663596,9/10/2020 16:00:00,6240181
9/16/2020 16:00:00,500.58,13939985,82.65,4496985,483.86,4401412,,,9/11/2020 16:00:00,486.58,9/11/2020 16:00:00,84.74,9/11/2020 16:00:00,482.03,9/11/2020 16:00:00,15923172,9/11/2020 16:00:00,5492457,9/11/2020 16:00:00,5035200
9/17/2020 16:00:00,498.54,19812794,81.02,5962877,470.2,5379301,,,9/14/2020 16:00:00,514.89,9/14/2020 16:00:00,85.28,9/14/2020 16:00:00,476.26,9/14/2020 16:00:00,30043624,9/14/2020 16:00:00,5543323,9/14/2020 16:00:00,7359126
9/18/2020 16:00:00,487.57,17461548,79.81,9860767,469.96,6717711,,,9/15/2020 16:00:00,519.64,9/15/2020 16:00:00,82.65,9/15/2020 16:00:00,495.99,9/15/2020 16:00:00,18188914,9/15/2020 16:00:00,6435188,9/15/2020 16:00:00,5336992
9/21/2020 16:00:00,500.69,18026061,79.96,6677542,487.35,5457539,,,9/16/2020 16:00:00,500.58,9/16/2020 16:00:00,82.65,9/16/2020 16:00:00,483.86,9/16/2020 16:00:00,13939985,9/16/2020 16:00:00,4496985,9/16/2020 16:00:00,4401412
9/22/2020 16:00:00,505.51,16161302,80.04,4427019,491.17,3482324,,,9/17/2020 16:00:00,498.54,9/17/2020 16:00:00,81.02,9/17/2020 16:00:00,470.2,9/17/2020 16:00:00,19812794,9/17/2020 16:00:00,5962877,9/17/2020 16:00:00,5379301
9/23/2020 16:00:00,484.95,16175308,76.64,5926872,470.61,3726423,,,9/18/2020 16:00:00,487.57,9/18/2020 16:00:00,79.81,9/18/2020 16:00:00,469.96,9/18/2020 16:00:00,17461548,9/18/2020 16:00:00,9860767,9/18/2020 16:00:00,6717711
9/24/2020 16:00:00,493.92,18281008,75.29,13385065,473.08,3727201,,,9/21/2020 16:00:00,500.69,9/21/2020 16:00:00,79.96,9/21/2020 16:00:00,487.35,9/21/2020 16:00:00,18026061,9/21/2020 16:00:00,6677542,9/21/2020 16:00:00,5457539
9/25/2020 16:00:00,514.95,14700407,74.33,7403325,482.88,3769436,,,9/22/2020 16:00:00,505.51,9/22/2020 16:00:00,80.04,9/22/2020 16:00:00,491.17,9/22/2020 16:00:00,16161302,9/22/2020 16:00:00,4427019,9/22/2020 16:00:00,3482324
9/28/2020 16:00:00,521.4,14345228,75.1,7400255,490.65,4773497,,,9/23/2020 16:00:00,484.95,9/23/2020 16:00:00,76.64,9/23/2020 16:00:00,470.61,9/23/2020 16:00:00,16175308,9/23/2020 16:00:00,5926872,9/23/2020 16:00:00,3726423
9/29/2020 16:00:00,529.03,15575124,73.7,6642965,493.48,3543193,,,9/24/2020 16:00:00,493.92,9/24/2020 16:00:00,75.29,9/24/2020 16:00:00,473.08,9/24/2020 16:00:00,18281008,9/24/2020 16:00:00,13385065,9/24/2020 16:00:00,3727201
9/30/2020 16:00:00,541.22,17229603,74.15,5783266,500.03,4634111,,,9/25/2020 16:00:00,514.95,9/25/2020 16:00:00,74.33,9/25/2020 16:00:00,482.88,9/25/2020 16:00:00,14700407,9/25/2020 16:00:00,7403325,9/25/2020 16:00:00,3769436
10/1/2020 16:00:00,544.58,13125059,74.43,4414426,527.51,8153710,,,9/28/2020 16:00:00,521.4,9/28/2020 16:00:00,75.1,9/28/2020 16:00:00,490.65,9/28/2020 16:00:00,14345228,9/28/2020 16:00:00,7400255,9/28/2020 16:00:00,4773497
10/2/2020 16:00:00,522.49,13812397,71.4,5843793,503.06,6071165,,,9/29/2020 16:00:00,529.03,9/29/2020 16:00:00,73.7,9/29/2020 16:00:00,493.48,9/29/2020 16:00:00,15575124,9/29/2020 16:00:00,6642965,9/29/2020 16:00:00,3543193
10/5/2020 16:00:00,545.7,11995457,72.07,7996294,520.65,4088069,,,9/30/2020 16:00:00,541.22,9/30/2020 16:00:00,74.15,9/30/2020 16:00:00,500.03,9/30/2020 16:00:00,17229603,9/30/2020 16:00:00,5783266,9/30/2020 16:00:00,4634111
10/6/2020 16:00:00,549.46,19610496,72.99,7212778,505.87,4199034,,,10/1/2020 16:00:00,544.58,10/1/2020 16:00:00,74.43,10/1/2020 16:00:00,527.51,10/1/2020 16:00:00,13125059,10/1/2020 16:00:00,4414426,10/1/2020 16:00:00,8153710
10/7/2020 16:00:00,558.56,10452129,74.8,6574280,534.66,7988683,,,10/2/2020 16:00:00,522.49,10/2/2020 16:00:00,71.4,10/2/2020 16:00:00,503.06,10/2/2020 16:00:00,13812397,10/2/2020 16:00:00,5843793,10/2/2020 16:00:00,6071165
10/8/2020 16:00:00,553.55,9472522,73.41,4181713,531.79,5386488,,,10/5/2020 16:00:00,545.7,10/5/2020 16:00:00,72.07,10/5/2020 16:00:00,520.65,10/5/2020 16:00:00,11995457,10/5/2020 16:00:00,7996294,10/5/2020 16:00:00,4088069
10/9/2020 16:00:00,550.51,8672273,79.54,13997291,539.44,4781259,,,10/6/2020 16:00:00,549.46,10/6/2020 16:00:00,72.99,10/6/2020 16:00:00,505.87,10/6/2020 16:00:00,19610496,10/6/2020 16:00:00,7212778,10/6/2020 16:00:00,4199034
10/12/2020 16:00:00,569.04,10868595,84.72,11398293,539.81,5391074,,,10/7/2020 16:00:00,558.56,10/7/2020 16:00:00,74.8,10/7/2020 16:00:00,534.66,10/7/2020 16:00:00,10452129,10/7/2020 16:00:00,6574280,10/7/2020 16:00:00,7988683
10/13/2020 16:00:00,569.93,8615078,84.65,4634683,554.09,5602498,,,10/8/2020 16:00:00,553.55,10/8/2020 16:00:00,73.41,10/8/2020 16:00:00,531.79,10/8/2020 16:00:00,9472522,10/8/2020 16:00:00,4181713,10/8/2020 16:00:00,5386488
10/14/2020 16:00:00,563.81,6916178,82.66,4377037,541.45,9510081,,,10/9/2020 16:00:00,550.51,10/9/2020 16:00:00,79.54,10/9/2020 16:00:00,539.44,10/9/2020 16:00:00,8672273,10/9/2020 16:00:00,13997291,10/9/2020 16:00:00,4781259
10/15/2020 16:00:00,558.8,6680628,82.79,3369633,541.94,5113126,,,10/12/2020 16:00:00,569.04,10/12/2020 16:00:00,84.72,10/12/2020 16:00:00,539.81,10/12/2020 16:00:00,10868595,10/12/2020 16:00:00,11398293,10/12/2020 16:00:00,5391074
10/16/2020 16:00:00,552.46,6065990,84.02,3644208,530.79,6347363,,,10/13/2020 16:00:00,569.93,10/13/2020 16:00:00,84.65,10/13/2020 16:00:00,554.09,10/13/2020 16:00:00,8615078,10/13/2020 16:00:00,4634683,10/13/2020 16:00:00,5602498
