Date,Closing Price,Volume
10/7/2020 16:00,534.66,7988683
10/8/2020 16:00,531.79,5386488
10/9/2020 16:00,539.44,4781259
10/12/2020 16:00,539.81,5391074
10/13/2020 16:00,554.09,5602498
10/14/2020 16:00,541.45,9510081
10/15/2020 16:00,541.94,5113126
10/16/2020 16:00,530.79,6347363
10/19/2020 16:00,530.72,7567506
10/20/2020 16:00,525.42,10047175
10/21/2020 16:00,489.05,17405708
10/22/2020 16:00,485.23,6997922
10/23/2020 16:00,488.28,4927862
10/26/2020 16:00,488.24,6186087
10/27/2020 16:00,488.93,3627175
10/28/2020 16:00,486.24,5992731
10/29/2020 16:00,504.21,11120689
10/30/2020 16:00,475.74,7813897
11/2/2020 16:00,484.12,4408193
11/3/2020 16:00,487.22,3690213
11/4/2020 16:00,496.95,5137330
11/5/2020 16:00,513.76,5372781
11/6/2020 16:00,514.73,4236349
11/9/2020 16:00,470.5,10419676
11/10/2020 16:00,480.24,8306142
11/11/2020 16:00,490.76,5460532
11/12/2020 16:00,486.77,5071155
11/13/2020 16:00,482.84,3006510
11/16/2020 16:00,479.1,3953563
11/17/2020 16:00,480.63,3698082
11/18/2020 16:00,481.79,3629237
11/19/2020 16:00,484.67,2254653
11/20/2020 16:00,488.24,4255924
11/23/2020 16:00,476.62,5416571
11/24/2020 16:00,482.88,3557894
11/25/2020 16:00,485,3598629
11/27/2020 13:00,491.36,2805762
11/30/2020 16:00,490.7,3530940
12/1/2020 16:00,504.58,5063234
12/2/2020 16:00,503.38,3028358
12/3/2020 16:00,497.52,2826116
12/4/2020 16:00,498.31,3666243
12/7/2020 16:00,515.78,4289293
12/8/2020 16:00,512.66,4228950
12/9/2020 16:00,493.6,4178768
12/10/2020 16:00,501.09,3018203
12/11/2020 16:00,503.22,3210928
12/14/2020 16:00,522.42,5770424
12/15/2020 16:00,519.78,3398209
12/16/2020 16:00,524.83,3682392
12/17/2020 16:00,532.9,3193377
12/18/2020 16:00,534.45,4502692
12/21/2020 16:00,528.91,3893964
12/22/2020 16:00,527.33,1908529
12/23/2020 16:00,514.48,2393187
12/24/2020 13:00,513.97,1143952
12/28/2020 16:00,519.12,2891867
12/29/2020 16:00,530.87,4022358
12/30/2020 16:00,524.59,1876286
12/31/2020 16:00,540.73,5392322
1/4/2021 16:00,522.86,4444407
1/5/2021 16:00,520.8,3133872
1/6/2021 16:00,500.49,5346210
1/7/2021 16:00,508.89,3686448
